Neighborhood,Intersection Count,Density (st. mi/area mi^2),Miles of Major Roads,Total Street Miles,Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Motorcycle (2010),Commute to Work: Taxi (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Population (2010),Total Working Pop. (Age 16+) (2010),Percent Working Pop.,Work at Home (2010)
Lincoln Place,4,22.3201194914041,2.95002620643996,21.9629975795417,0.839447102605,0.0499734183945,0.0893141945774,0.0,0.0,0.0,0.0026581605529,0.00956937799043,3227,1881,58.2894329098234,0.00903774587985
Lincoln-Lemington-Belmar,8,16.7650967020133,6.313541442929,30.3783552240481,0.514001244555,0.103920348475,0.279402613566,0.0,0.0,0.0,0.0429371499689,0.0,4883,1607,32.9100962523039,0.059738643435
Lower Lawrenceville,7,29.6155519916386,2.14627545929034,12.7346873564046,0.445008460237,0.108291032149,0.181895093063,0.0118443316413,0.0,0.075296108291,0.137055837563,0.0,2341,1182,50.491243058522,0.0406091370558
Manchester,5,39.9141620354754,2.15655176015017,11.1360512078976,0.35914552737,0.0106809078772,0.41655540721,0.0,0.0,0.0,0.116154873164,0.0480640854473,2130,749,35.1643192488263,0.0493991989319
Marshall-Shadeland,9,19.5723765708092,7.06084190365989,24.5437602197947,0.489032901296,0.0927218344965,0.34297108674,0.0,0.0,0.0,0.0533399800598,0.00548354935194,6043,2006,33.1954327320867,0.0164506480558
Middle Hill,5,43.4646143560208,0.943705297176932,13.2567073785863,0.407590759076,0.0676567656766,0.483498349835,0.0,0.0,0.0,0.0412541254125,0.0,1707,606,35.5008787346221,0.0
Morningside,1,39.8905455930803,1.94111592629905,15.2381884165567,0.595523165018,0.160333159813,0.150963040083,0.0,0.0,0.0124934929724,0.0530973451327,0.0124934929724,3346,1921,57.4118350268978,0.0150963040083
Mount Washington,11,30.0438645310745,4.62877426492943,34.2500055654249,0.649704593101,0.0859538784067,0.165427863541,0.00266819134744,0.0,0.00495521250238,0.0594625500286,0.0020964360587,8799,5247,59.6317763382203,0.0297312750143
Mt. Oliver,2,35.3253121359034,0.744944290175379,3.53253121359034,0.520408163265,0.112244897959,0.234693877551,0.0,0.0,0.0,0.132653061224,0.0,509,196,38.5068762278978,0.0
New Homestead,1,15.2459372457835,0.623484849180303,12.1052741731521,0.888738127544,0.0366350067843,0.0189959294437,0.0,0.0,0.0,0.0176390773406,0.0,990,737,74.4444444444444,0.0379918588874
North Oakland,28,30.0612940836988,2.44966080046701,15.0005857477657,0.205762514552,0.0724679860303,0.115250291036,0.0,0.00378346915017,0.029394644936,0.525611175786,0.00378346915017,10551,3436,32.5656335892332,0.0439464493597
North Shore,16,44.8921662257092,6.81337092907314,13.6023263663899,0.72049689441,0.0,0.0,0.0,0.0,0.0,0.27950310559,0.0,303,161,53.1353135313531,0.0
Northview Heights,4,18.4983748198128,3.15781795150305,5.7899913186014,0.0844594594595,0.0,0.773648648649,0.0,0.0,0.0,0.0574324324324,0.0,1214,296,24.3822075782537,0.0844594594595
